date,series,listings
2023-06-05,Entire home/apt,12622
2023-06-05,Hotel room,33
2023-06-05,Hotel room,118
2023-06-05,Private room,8796
2023-06-05,Private room,9390
2023-06-05,Shared room,276
2023-06-05,Shared room,304
2023-07-03,Entire home/apt,12210
2023-07-03,Entire home/apt,12512
2023-07-03,Hotel room,33
2023-07-03,Hotel room,117
2023-07-03,Private room,9054
2023-07-03,Private room,9255
2023-07-03,Shared room,286
2023-07-03,Shared room,262
2023-08-04,Entire home/apt,12355
2023-08-04,Entire home/apt,12294
2023-08-04,Hotel room,27
2023-08-04,Hotel room,108
2023-08-04,Private room,9132
2023-08-04,Private room,9127
2023-08-04,Shared room,283
2023-08-04,Shared room,256
2023-09-05,Entire home/apt,18580
2023-09-05,Entire home/apt,3401
2023-09-05,Hotel room,29
2023-09-05,Hotel room,104
2023-09-05,Private room,13585
2023-09-05,Private room,3256
2023-09-05,Shared room,418
2023-09-05,Shared room,80
2023-10-01,Entire home/apt,19899
2023-10-01,Entire home/apt,1420
2023-10-01,Hotel room,28
2023-10-01,Hotel room,104
2023-10-01,Private room,15164
2023-10-01,Private room,1685
2023-10-01,Shared room,474
2023-10-01,Shared room,18
2023-11-01,Entire home/apt,19555
2023-11-01,Entire home/apt,1681
2023-11-01,Hotel room,38
2023-11-01,Hotel room,93
2023-11-01,Private room,15308
2023-11-01,Private room,1948
2023-11-01,Shared room,513
2023-11-01,Shared room,24
2023-12-04,Entire home/apt,19448
2023-12-04,Entire home/apt,1798
2023-12-04,Hotel room,38
2023-12-04,Hotel room,133
2023-12-04,Private room,15409
2023-12-04,Private room,2256
2023-12-04,Shared room,513
2023-12-04,Shared room,32
2024-01-05,Entire home/apt,19261
2024-01-05,Entire home/apt,1801
2024-01-05,Hotel room,39
2024-01-05,Hotel room,135
2024-01-05,Private room,15383
2024-01-05,Private room,2548
2024-01-05,Shared room,511
2024-01-05,Shared room,41
2024-02-06,Entire home/apt,19070
2024-02-06,Entire home/apt,1783
2024-02-06,Hotel room,40
2024-02-06,Hotel room,229
2024-02-06,Private room,14949
2024-02-06,Private room,2594
2024-02-06,Shared room,507
2024-02-06,Shared room,30
2024-03-07,Entire home/apt,18843
2024-03-07,Entire home/apt,1892
2024-03-07,Hotel room,40
2024-03-07,Hotel room,228
2024-03-07,Private room,14976
2024-03-07,Private room,2785
2024-03-07,Shared room,513
2024-03-07,Shared room,42
