"date","room_type","str_ltr","listings"
"2017-12-03","Private room","str","22366"
"2017-12-03","Shared room","ltr","28"
"2017-12-03","Shared room","str","1188"
"2018-01-10","Entire home/apt","ltr","676"
"2018-01-10","Entire home/apt","str","23480"
"2018-01-10","Private room","ltr","323"
"2018-01-10","Private room","str","22915"
"2018-01-10","Shared room","ltr","25"
"2018-01-10","Shared room","str","1201"
"2018-02-03","Entire home/apt","ltr","676"
"2018-02-03","Entire home/apt","str","23609"
"2018-02-03","Private room","ltr","336"
"2018-02-03","Private room","str","23360"
"2018-02-03","Shared room","ltr","25"
"2018-02-03","Shared room","str","1216"
"2018-03-04","Entire home/apt","ltr","690"
"2018-03-04","Entire home/apt","str","23407"
"2018-03-04","Private room","ltr","377"
"2018-03-04","Private room","str","23142"
"2018-03-04","Shared room","ltr","32"
"2018-03-04","Shared room","str","1204"
"2018-04-06","Entire home/apt","ltr","726"
"2018-04-06","Entire home/apt","str","23295"
"2018-04-06","Private room","ltr","385"
"2018-04-06","Private room","str","22938"
"2018-04-06","Shared room","ltr","42"
"2018-04-06","Shared room","str","1163"
"2018-05-09","Entire home/apt","ltr","738"
"2018-05-09","Entire home/apt","str","22926"
"2018-05-09","Private room","ltr","409"
"2018-05-09","Private room","str","22284"
"2018-05-09","Shared room","ltr","46"
"2018-05-09","Shared room","str","1039"
"2018-06-03","Entire home/apt","ltr","755"
"2018-06-03","Entire home/apt","str","23115"
"2018-06-03","Private room","ltr","412"
"2018-06-03","Private room","str","22134"
"2018-06-03","Shared room","ltr","71"
"2018-06-03","Shared room","str","1055"
"2018-07-05","Entire home/apt","ltr","776"
"2018-07-05","Entire home/apt","str","23279"
"2018-07-05","Private room","ltr","424"
"2018-07-05","Private room","str","22304"
"2018-07-05","Shared room","ltr","62"
"2018-07-05","Shared room","str","1009"
"2018-08-06","Entire home/apt","ltr","3236"
"2018-08-06","Entire home/apt","str","23223"
"2018-08-06","Private room","ltr","1047"
"2018-08-06","Private room","str","22308"
"2018-08-06","Shared room","ltr","87"
"2018-08-06","Shared room","str","1013"
"2018-09-08","Entire home/apt","ltr","3283"
"2018-09-08","Entire home/apt","str","22819"
"2018-09-08","Private room","ltr","1134"
"2018-09-08","Private room","str","21844"
"2018-09-08","Shared room","ltr","83"
"2018-09-08","Shared room","str","1057"
"2018-10-03","Entire home/apt","ltr","3366"
"2018-10-03","Entire home/apt","str","22684"
"2018-10-03","Private room","ltr","1193"
"2018-10-03","Private room","str","21629"
"2018-10-03","Shared room","ltr","105"
"2018-10-03","Shared room","str","1064"
"2018-11-03","Entire home/apt","ltr","3450"
"2018-11-03","Entire home/apt","str","23143"
"2018-11-03","Private room","ltr","1287"
"2018-11-03","Private room","str","21930"
"2018-11-03","Shared room","ltr","100"
"2018-11-03","Shared room","str","1058"
"2018-12-06","Entire home/apt","ltr","3493"
"2018-12-06","Entire home/apt","str","22566"
"2018-12-06","Private room","ltr","1251"
"2018-12-06","Private room","str","20683"
"2018-12-06","Shared room","ltr","89"
"2018-12-06","Shared room","str","974"
"2019-01-09","Entire home/apt","ltr","3490"
"2019-01-09","Entire home/apt","str","23382"
"2019-01-09","Private room","ltr","1307"
"2019-01-09","Private room","str","21366"
"2019-01-09","Shared room","ltr","109"
"2019-01-09","Shared room","str","1063"
"2019-02-01","Entire home/apt","ltr","3479"
"2019-02-01","Entire home/apt","str","23046"
"2019-02-01","Private room","ltr","1236"
"2019-02-01","Private room","str","21321"
"2019-02-01","Shared room","ltr","98"
"2019-02-01","Shared room","str","1048"
"2019-03-06","Entire home/apt","ltr","3567"
"2019-03-06","Entire home/apt","str","22494"
"2019-03-06","Private room","ltr","1230"
"2019-03-06","Private room","str","21348"
"2019-03-06","Shared room","ltr","106"
"2019-03-06","Shared room","str","1003"
"2019-04-03","Entire home/apt","ltr","3620"
"2019-04-03","Entire home/apt","str","22133"
"2019-04-03","Private room","ltr","1262"
"2019-04-03","Private room","str","21323"
"2019-04-03","Shared room","ltr","114"
"2019-04-03","Shared room","str","1014"
"2019-05-03","Entire home/apt","ltr","3523"
"2019-05-03","Entire home/apt","str","21995"
"2019-05-03","Private room","ltr","1169"
"2019-05-03","Private room","str","21104"
"2019-05-03","Shared room","ltr","112"
"2019-05-03","Shared room","str","1038"
"2019-06-02","Entire home/apt","ltr","3313"
"2019-06-02","Entire home/apt","str","22047"
"2019-06-02","Private room","ltr","1239"
"2019-06-02","Private room","str","21042"
"2019-06-02","Shared room","ltr","107"
"2019-06-02","Shared room","str","1053"
"2019-07-08","Entire home/apt","ltr","3155"
"2019-07-08","Entire home/apt","str","22254"
"2019-07-08","Private room","ltr","1245"
"2019-07-08","Private room","str","21081"
"2019-07-08","Shared room","ltr","107"
"2019-07-08","Shared room","str","1053"
"2019-08-06","Entire home/apt","ltr","3247"
"2019-08-06","Entire home/apt","str","22049"
"2019-08-06","Private room","ltr","1263"
"2019-08-06","Private room","str","21134"
"2019-08-06","Shared room","ltr","110"
"2019-08-06","Shared room","str","1061"
"2019-09-12","Entire home/apt","ltr","3267"
"2019-09-12","Entire home/apt","str","21631"
"2019-09-12","Hotel room","ltr","19"
"2019-09-12","Hotel room","str","416"
"2019-09-12","Private room","ltr","1305"
"2019-09-12","Private room","str","20547"
"2019-09-12","Shared room","ltr","140"
"2019-09-12","Shared room","str","1052"
"2019-10-14","Entire home/apt","ltr","3362"
"2019-10-14","Entire home/apt","str","21772"
"2019-10-14","Hotel room","ltr","26"
"2019-10-14","Hotel room","str","429"
"2019-10-14","Private room","ltr","1288"
"2019-10-14","Private room","str","20538"
"2019-10-14","Shared room","ltr","145"
"2019-10-14","Shared room","str","1042"
"2019-11-01","Entire home/apt","ltr","3503"
"2019-11-01","Entire home/apt","str","22047"
"2019-11-01","Hotel room","ltr","22"
"2019-11-01","Hotel room","str","428"
"2019-11-01","Private room","ltr","1327"
"2019-11-01","Private room","str","20719"
"2019-11-01","Shared room","ltr","156"
"2019-11-01","Shared room","str","1079"
"2019-12-04","Entire home/apt","ltr","3546"
"2019-12-04","Entire home/apt","str","22595"
"2019-12-04","Hotel room","ltr","18"
"2019-12-04","Hotel room","str","399"
"2019-12-04","Private room","ltr","1388"
"2019-12-04","Private room","str","21397"
"2019-12-04","Shared room","ltr","170"
"2019-12-04","Shared room","str","1086"
"2020-01-03","Entire home/apt","ltr","3662"
"2020-01-03","Entire home/apt","str","22990"
"2020-01-03","Hotel room","ltr","18"
"2020-01-03","Hotel room","str","382"
"2020-01-03","Private room","ltr","1416"
"2020-01-03","Private room","str","21665"
"2020-01-03","Shared room","ltr","143"
"2020-01-03","Shared room","str","1085"
"2020-02-12","Entire home/apt","ltr","3674"
"2020-02-12","Entire home/apt","str","22777"
"2020-02-12","Hotel room","ltr","17"
"2020-02-12","Hotel room","str","383"
"2020-02-12","Private room","ltr","1347"
"2020-02-12","Private room","str","21623"
"2020-02-12","Shared room","ltr","183"
"2020-02-12","Shared room","str","1093"
"2020-03-13","Entire home/apt","ltr","3744"
"2020-03-13","Entire home/apt","str","22530"
"2020-03-13","Hotel room","ltr","17"
"2020-03-13","Hotel room","str","385"
"2020-03-13","Private room","ltr","1350"
"2020-03-13","Private room","str","21545"
"2020-03-13","Shared room","ltr","172"
"2020-03-13","Shared room","str","1053"
"2020-04-08","Entire home/apt","ltr","3989"
"2020-04-08","Entire home/apt","str","22241"
"2020-04-08","Hotel room","ltr","17"
"2020-04-08","Hotel room","str","373"
"2020-04-08","Private room","ltr","1380"
"2020-04-08","Private room","str","21210"
"2020-04-08","Shared room","ltr","163"
"2020-04-08","Shared room","str","1005"
"2020-05-06","Entire home/apt","ltr","3971"
"2020-05-06","Entire home/apt","str","22102"
"2020-05-06","Hotel room","ltr","19"
"2020-05-06","Hotel room","str","415"
"2020-05-06","Private room","ltr","1521"
"2020-05-06","Private room","str","21078"
"2020-05-06","Shared room","ltr","158"
"2020-05-06","Shared room","str","982"
"2020-06-08","Entire home/apt","ltr","4016"
"2020-06-08","Entire home/apt","str","21700"
"2020-06-08","Hotel room","ltr","19"
"2020-06-08","Hotel room","str","412"
"2020-06-08","Private room","ltr","1401"
"2020-06-08","Private room","str","20878"
"2020-06-08","Shared room","ltr","148"
"2020-06-08","Shared room","str","956"
"2020-07-07","Entire home/apt","ltr","3993"
"2020-07-07","Entire home/apt","str","21198"
"2020-07-07","Hotel room","ltr","18"
"2020-07-07","Hotel room","str","381"
"2020-07-07","Private room","ltr","1427"
"2020-07-07","Private room","str","20495"
"2020-07-07","Shared room","ltr","135"
"2020-07-07","Shared room","str","941"
"2020-08-15","Entire home/apt","ltr","3788"
"2020-08-15","Entire home/apt","str","20210"
"2020-08-15","Hotel room","ltr","18"
"2020-08-15","Hotel room","str","380"
"2020-08-15","Private room","ltr","1586"
"2020-08-15","Private room","str","19558"
"2020-08-15","Shared room","ltr","116"
"2020-08-15","Shared room","str","871"
"2020-09-07","Entire home/apt","ltr","3826"
"2020-09-07","Entire home/apt","str","19751"
"2020-09-07","Hotel room","ltr","18"
"2020-09-07","Hotel room","str","375"
"2020-09-07","Private room","ltr","1604"
"2020-09-07","Private room","str","19238"
"2020-09-07","Shared room","ltr","109"
"2020-09-07","Shared room","str","835"
"2020-10-05","Entire home/apt","ltr","4202"
"2020-10-05","Entire home/apt","str","18658"
"2020-10-05","Hotel room","ltr","3"
"2020-10-05","Hotel room","str","385"
"2020-10-05","Private room","ltr","2115"
"2020-10-05","Private room","str","18383"
"2020-10-05","Shared room","ltr","113"
"2020-10-05","Shared room","str","807"
"2020-11-02","Entire home/apt","ltr","4604"
"2020-11-02","Entire home/apt","str","18211"
"2020-11-02","Hotel room","ltr","19"
"2020-11-02","Hotel room","str","369"
"2020-11-02","Private room","ltr","2348"
"2020-11-02","Private room","str","18042"
"2020-11-02","Shared room","ltr","113"
"2020-11-02","Shared room","str","791"
"2020-12-10","Entire home/apt","ltr","13475"
"2020-12-10","Entire home/apt","str","5995"
"2020-12-10","Hotel room","ltr","99"
"2020-12-10","Hotel room","str","198"
"2020-12-10","Private room","ltr","11128"
"2020-12-10","Private room","str","5350"
"2020-12-10","Shared room","ltr","445"
"2020-12-10","Shared room","str","233"
"2021-01-08","Entire home/apt","ltr","13340"
"2021-01-08","Entire home/apt","str","6203"
"2021-01-08","Hotel room","ltr","88"
"2021-01-08","Hotel room","str","206"
"2021-01-08","Private room","ltr","11034"
"2021-01-08","Private room","str","5580"
"2021-01-08","Shared room","ltr","450"
"2021-01-08","Shared room","str","242"
"2021-02-04","Entire home/apt","ltr","13180"
"2021-02-04","Entire home/apt","str","6217"
"2021-02-04","Hotel room","ltr","87"
"2021-02-04","Hotel room","str","212"
"2021-02-04","Private room","ltr","11024"
"2021-02-04","Private room","str","5606"
"2021-02-04","Shared room","ltr","436"
"2021-02-04","Shared room","str","250"
"2021-03-01","Entire home/apt","ltr","13024"
"2021-03-01","Entire home/apt","str","6269"
"2021-03-01","Hotel room","ltr","87"
"2021-03-01","Hotel room","str","195"
"2021-03-01","Private room","ltr","11073"
"2021-03-01","Private room","str","5653"
"2021-03-01","Shared room","ltr","435"
"2021-03-01","Shared room","str","245"
"2021-04-07","Entire home/apt","ltr","12830"
"2021-04-07","Entire home/apt","str","6413"
"2021-04-07","Hotel room","ltr","80"
"2021-04-07","Hotel room","str","202"
"2021-04-07","Private room","ltr","10957"
"2021-04-07","Private room","str","5752"
"2021-04-07","Shared room","ltr","425"
"2021-04-07","Shared room","str","246"
"2021-05-06","Entire home/apt","ltr","12669"
"2021-05-06","Entire home/apt","str","6503"
"2021-05-06","Hotel room","ltr","79"
"2021-05-06","Hotel room","str","210"
"2021-05-06","Private room","ltr","10580"
"2021-05-06","Private room","str","5788"
"2021-05-06","Shared room","ltr","405"
"2021-05-06","Shared room","str","238"
"2021-06-02","Entire home/apt","ltr","12547"
"2021-06-02","Entire home/apt","str","6606"
"2021-06-02","Hotel room","ltr","78"
"2021-06-02","Hotel room","str","200"
"2021-06-02","Private room","ltr","10354"
"2021-06-02","Private room","str","5808"
"2021-06-02","Shared room","ltr","395"
"2021-06-02","Shared room","str","242"
"2021-07-03","Entire home/apt","ltr","12332"
"2021-07-03","Entire home/apt","str","6875"
"2021-07-03","Hotel room","ltr","72"
"2021-07-03","Hotel room","str","190"
"2021-07-03","Private room","ltr","10150"
"2021-07-03","Private room","str","6069"
"2021-07-03","Shared room","ltr","380"
"2021-07-03","Shared room","str","242"
"2021-08-04","Entire home/apt","ltr","12366"
"2021-08-04","Entire home/apt","str","7118"
"2021-08-04","Hotel room","ltr","71"
"2021-08-04","Hotel room","str","188"
"2021-08-04","Private room","ltr","10044"
"2021-08-04","Private room","str","6338"
"2021-08-04","Shared room","ltr","371"
"2021-08-04","Shared room","str","228"
"2021-09-01","Entire home/apt","ltr","12255"
"2021-09-01","Entire home/apt","str","7419"
"2021-09-01","Hotel room","ltr","71"
"2021-09-01","Hotel room","str","187"
"2021-09-01","Private room","ltr","9890"
"2021-09-01","Private room","str","6523"
"2021-09-01","Shared room","ltr","355"
"2021-09-01","Shared room","str","223"
"2021-10-06","Entire home/apt","ltr","12070"
"2021-10-06","Entire home/apt","str","7712"
"2021-10-06","Hotel room","ltr","68"
"2021-10-06","Hotel room","str","194"
"2021-10-06","Private room","ltr","9855"
"2021-10-06","Private room","str","6784"
"2021-10-06","Shared room","ltr","352"
"2021-10-06","Shared room","str","239"
"2021-11-02","Entire home/apt","ltr","12024"
"2021-11-02","Entire home/apt","str","8039"
"2021-11-02","Hotel room","ltr","60"
"2021-11-02","Hotel room","str","186"
"2021-11-02","Private room","ltr","9868"
"2021-11-02","Private room","str","6960"
"2021-11-02","Shared room","ltr","327"
"2021-11-02","Shared room","str","249"
"2021-12-04","Entire home/apt","ltr","11937"
"2021-12-04","Entire home/apt","str","8460"
"2021-12-04","Hotel room","ltr","42"
"2021-12-04","Hotel room","str","168"
"2021-12-04","Private room","ltr","9826"
"2021-12-04","Private room","str","7272"
"2021-12-04","Shared room","ltr","327"
"2021-12-04","Shared room","str","245"
"2022-01-06","Entire home/apt","ltr","11640"
"2022-01-06","Entire home/apt","str","8736"
"2022-01-06","Hotel room","ltr","42"
"2022-01-06","Hotel room","str","167"
"2022-01-06","Private room","ltr","9569"
"2022-01-06","Private room","str","7465"
"2022-01-06","Shared room","ltr","309"
"2022-01-06","Shared room","str","257"
"2022-02-05","Entire home/apt","ltr","11373"
"2022-02-05","Entire home/apt","str","8938"
"2022-02-05","Hotel room","ltr","43"
"2022-02-05","Hotel room","str","155"
"2022-02-05","Private room","ltr","9347"
"2022-02-05","Private room","str","7438"
"2022-02-05","Shared room","ltr","303"
"2022-02-05","Shared room","str","261"
"2022-03-05","Entire home/apt","ltr","11177"
"2022-03-05","Entire home/apt","str","9185"
"2022-03-05","Hotel room","ltr","43"
"2022-03-05","Hotel room","str","155"
"2022-03-05","Private room","ltr","8797"
"2022-03-05","Private room","str","7703"
"2022-03-05","Shared room","ltr","298"
"2022-03-05","Shared room","str","273"
"2022-04-08","Entire home/apt","ltr","11069"
"2022-04-08","Entire home/apt","str","9327"
"2022-04-08","Hotel room","ltr","43"
"2022-04-08","Hotel room","str","158"
"2022-04-08","Private room","ltr","8692"
"2022-04-08","Private room","str","7703"
"2022-04-08","Shared room","ltr","291"
"2022-04-08","Shared room","str","248"
"2022-05-07","Entire home/apt","ltr","10697"
"2022-05-07","Entire home/apt","str","9615"
"2022-05-07","Hotel room","ltr","43"
"2022-05-07","Hotel room","str","157"
"2022-05-07","Private room","ltr","8144"
"2022-05-07","Private room","str","7658"
"2022-05-07","Shared room","ltr","275"
"2022-05-07","Shared room","str","239"
"2022-06-03","Entire home/apt","ltr","10764"
"2022-06-03","Entire home/apt","str","10330"
"2022-06-03","Hotel room","ltr","40"
"2022-06-03","Hotel room","str","155"
"2022-06-03","Private room","ltr","7794"
"2022-06-03","Private room","str","7809"
"2022-06-03","Shared room","ltr","270"
"2022-06-03","Shared room","str","248"
"2022-07-07","Entire home/apt","ltr","10864"
"2022-07-07","Entire home/apt","str","10853"
"2022-07-07","Hotel room","ltr","39"
"2022-07-07","Hotel room","str","156"
"2022-07-07","Private room","ltr","8134"
"2022-07-07","Private room","str","8061"
"2022-07-07","Shared room","ltr","266"
"2022-07-07","Shared room","str","267"
"2022-08-02","Entire home/apt","ltr","10885"
"2022-08-02","Entire home/apt","str","11405"
"2022-08-02","Hotel room","ltr","39"
"2022-08-02","Hotel room","str","154"
"2022-08-02","Private room","ltr","8092"
"2022-08-02","Private room","str","8324"
"2022-08-02","Shared room","ltr","269"
"2022-08-02","Shared room","str","279"
"2022-09-07","Entire home/apt","ltr","11017"
"2022-09-07","Entire home/apt","str","11744"
"2022-09-07","Hotel room","ltr","39"
"2022-09-07","Hotel room","str","163"
"2022-09-07","Private room","ltr","7804"
"2022-09-07","Private room","str","8557"
"2022-09-07","Shared room","ltr","265"
"2022-09-07","Shared room","str","292"
"2022-10-04","Entire home/apt","ltr","11123"
"2022-10-04","Entire home/apt","str","12057"
"2022-10-04","Hotel room","ltr","39"
"2022-10-04","Hotel room","str","162"
"2022-10-04","Private room","ltr","7801"
"2022-10-04","Private room","str","8806"
"2022-10-04","Shared room","ltr","268"
"2022-10-04","Shared room","str","289"
"2022-11-02","Entire home/apt","ltr","10938"
"2022-11-02","Entire home/apt","str","11557"
"2022-11-02","Hotel room","ltr","39"
"2022-11-02","Hotel room","str","158"
"2022-11-02","Private room","ltr","7679"
"2022-11-02","Private room","str","8643"
"2022-11-02","Shared room","ltr","261"
"2022-11-02","Shared room","str","269"
"2022-12-04","Entire home/apt","ltr","11238"
"2022-12-04","Entire home/apt","str","12288"
"2022-12-04","Hotel room","ltr","38"
"2022-12-04","Hotel room","str","150"
"2022-12-04","Private room","ltr","8015"
"2022-12-04","Private room","str","9272"
"2022-12-04","Shared room","ltr","264"
"2022-12-04","Shared room","str","268"
"2023-01-04","Entire home/apt","ltr","11455"
"2023-01-04","Entire home/apt","str","12797"
"2023-01-04","Hotel room","ltr","38"
"2023-01-04","Hotel room","str","148"
"2023-01-04","Private room","ltr","8353"
"2023-01-04","Private room","str","9413"
"2023-01-04","Shared room","ltr","264"
"2023-01-04","Shared room","str","286"
"2023-02-05","Entire home/apt","ltr","11410"
"2023-02-05","Entire home/apt","str","12647"
"2023-02-05","Hotel room","ltr","37"
"2023-02-05","Hotel room","str","159"
"2023-02-05","Private room","ltr","8551"
"2023-02-05","Private room","str","9362"
"2023-02-05","Shared room","ltr","268"
"2023-02-05","Shared room","str","305"
"2023-03-06","Entire home/apt","ltr","11363"
"2023-03-06","Entire home/apt","str","12916"
"2023-03-06","Hotel room","ltr","37"
"2023-03-06","Hotel room","str","160"
"2023-03-06","Private room","ltr","8457"
"2023-03-06","Private room","str","9422"
"2023-03-06","Shared room","ltr","268"
"2023-03-06","Shared room","str","308"
"2023-04-05","Entire home/apt","ltr","11522"
"2023-04-05","Entire home/apt","str","12772"
"2023-04-05","Hotel room","ltr","35"
"2023-04-05","Hotel room","str","154"
"2023-04-05","Private room","ltr","8683"
"2023-04-05","Private room","str","9489"
"2023-04-05","Shared room","ltr","279"
